NAME,RECORD,NICKNAME,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Magomed Ankalaev,21-1-1 (1 NC),,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",3.66,52%,2.46,57%,0.80,22%,87%,0.0
Tom Aspinall,15-3-0,,"6' 5""",256 lbs.,"78""",Orthodox,"Apr 11, 1993",8.07,67%,2.89,65%,3.27,100%,100%,1.6
Dricus Du Plessis,23-2-0,Stillknocks,"6' 1""",185 lbs.,"76""",Switch,"Jan 14, 1994",6.12,48%,4.90,54%,2.55,50%,50%,0.7
Merab Dvalishvili,19-4-0,The Machine,"5' 6""",135 lbs.,"68""",Orthodox,"Jan 10, 1991",4.36,42%,2.51,56%,5.89,35%,82%,0.3
Jon Jones,28-1-0 (1 NC),Bones,"6' 4""",248 lbs.,"84""",Orthodox,"Jul 19, 1987",4.38,58%,2.24,64%,1.89,45%,95%,0.5
Islam Makhachev,27-1-0,,"5' 10""",155 lbs.,"70""",Southpaw,"Oct 27, 1991",2.63,58%,1.55,61%,3.20,53%,90%,1.1
Belal Muhammad,24-3-0 (1 NC),Remember the Name,"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988",4.39,43%,3.48,57%,2.28,39%,89%,0.2
Alexandre Pantoja,29-5-0,The Cannibal,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990",4.41,50%,3.92,50%,2.74,47%,68%,0.9
Julianna Pena,13-5-0,The Venezuelan Vixen,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 19, 1989",3.25,44%,2.53,57%,1.81,56%,23%,0.8
Valentina Shevchenko,24-4-1,Bullet,"5' 5""",125 lbs.,"66""",Southpaw,"Mar 07, 1988",3.16,52%,2.00,64%,2.74,64%,71%,0.3
Ilia Topuria,16-0-0,El Matador,"5' 7""",145 lbs.,"69""",Orthodox,"Jan 21, 1997",4.69,47%,3.84,64%,2.02,61%,92%,1.1
Zhang Weili,26-3-0,Magnum,"5' 4""",115 lbs.,"63""",Switch,"Aug 13, 1989",5.15,53%,2.77,54%,2.24,45%,74%,0.5
